Treatment,Mass,mean
A,346.0573359,0.0
A,346.0582926,0.0
A,346.0680968,0.0
A,346.0931337,0.0
A,346.1239309,0.0
A,346.1296842,0.0
A,347.0045545,0.0
A,347.0057661,0.0
A,347.0408415,0.0
A,347.0412764,0.0
A,347.0423484,0.0
A,347.0521214,0.0
A,347.0536332,0.0
A,347.0619402,0.0
A,347.0633995,0.0
A,347.0768305,0.0
A,347.0772529,0.0
A,347.0786554,0.0
A,347.0820594,0.0
A,347.0885259,0.0
A,347.0918336,0.0
A,347.0983795,0.0
A,347.1136072,0.0
A,347.1168933,0.0
A,347.1280601,0.0
A,347.1347104,0.0
A,347.1500441,0.0
A,347.1711492,0.0
A,347.1863825,0.0
A,348.0362647,0.0
A,348.0375924,0.0
A,348.0472398,0.0
A,348.0487369,0.0
A,348.0725198,0.0
A,348.0739471,0.0
A,348.0837592,0.0
A,348.1088261,0.0
A,349.0202557,0.0
A,349.0216203,0.0
A,349.0312041,0.0
A,349.032829,0.0
A,349.0565201,0.0
A,349.057952,0.0
A,349.0677262,0.0
A,349.0682463,0.0
A,349.0693424,0.0
A,349.0710322,0.0
A,349.0792066,0.0
A,349.092921,0.0
A,349.0943709,0.0
A,349.1041333,0.0
A,349.1046394,0.0
A,349.1073813,0.0
A,349.1292423,0.0
A,349.1297824,0.0
A,349.1438196,0.0
A,349.1656772,0.0
A,350.030394,0.0
A,350.0517046,0.0
A,350.0522655,0.0
A,350.0532019,0.0
A,350.0595919,0.0
A,350.0613237,0.0
A,350.0630298,0.0
A,350.0881542,0.0
A,350.0957958,0.0
A,350.124468,0.0
A,350.1322316,0.0
A,350.9994949,0.0
A,351.0006992,0.0
A,351.0147179,0.0
A,351.0357256,0.0
A,351.0362667,0.0
A,351.0469806,0.0
A,351.0485534,0.0
A,351.0509499,0.0
A,351.0513758,0.0
A,351.0721502,0.0
A,351.0736291,0.0
A,351.0770318,0.0
A,351.0834264,0.0
A,351.0849913,0.0
A,351.0865964,0.0
A,351.1084773,0.0
A,351.1100366,0.0
A,351.1197228,0.0
A,351.1229085,0.0
A,351.1448997,0.0
A,351.1454039,0.0
A,351.1812381,0.0
A,352.0309158,0.0
A,352.032576,0.0
A,352.038718,0.0
A,352.0406399,0.0
A,352.0464252,0.0
A,352.0578406,0.0
A,352.0674707,0.0
A,352.0770421,0.0
A,352.1038431,0.0
A,352.140131,0.0
A,352.1477886,0.0
A,353.0146847,0.0
A,353.0152154,0.0
A,353.0166052,0.0
A,353.029903,0.0
A,353.0304655,0.0
A,353.0318193,0.0
A,353.051419,0.0
A,353.0529148,0.0
A,353.0626933,0.0
A,353.0642113,0.0
A,353.0664918,0.0
A,353.0877803,0.0
